wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),,
390.26,1.206725,0.0025255,,
390.77,1.204475,0.0025026,,
391.29,1.173779,0.0024801,,
391.8,1.12057,0.0024586,,
392.32,1.053355,0.0024374,,
392.84,0.9946196,0.0024169,,
393.36,0.9637688,0.0023971,,
393.88,0.9626742,0.002378,,
394.4,0.9744824,0.0023596,,
394.93,0.9948038,0.0023416,,
395.46,1.023304,0.0023243,,
395.99,1.050102,0.0023078,,
396.53,1.079622,0.0022916,,
397.07,1.124329,0.0022763,,
397.61,1.203863,0.0022617,,
398.15,1.30194,0.0022478,,
398.69,1.406367,0.0022347,,
399.24,1.512228,0.0022221,,
399.79,1.607154,0.0022104,,
,,,,
,,,,64
