wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
26.35,7.50E-05,
26.45,1.09E-04,
26.55,9.62E-05,
26.65,1.79E-05,
26.75,1.29E-05,
26.85,9.84E-06,
26.95,3.64E-05,
27.05,5.91E-05,
27.15,6.51E-05,
27.25,3.78E-05,
27.35,1.04E-04,
27.45,1.13E-04,
27.55,5.93E-05,
27.65,5.69E-05,
27.75,5.94E-05,
27.85,3.86E-05,
27.95,2.33E-05,
28.05,1.92E-05,
28.15,1.92E-05,
28.25,2.73E-05,
28.35,4.28E-04,
28.45,4.62E-04,
28.55,1.27E-04,
28.65,2.17E-05,
28.75,2.45E-05,
28.85,3.33E-05,
28.95,3.32E-05,
29.05,3.29E-05,
29.15,5.02E-05,
29.25,4.38E-05,
29.35,3.01E-05,
29.45,1.89E-05,
29.55,3.76E-05,
29.65,3.69E-05,
29.75,2.30E-05,
29.85,1.13E-05,
29.95,1.35E-05,
30.05,1.32E-05,
30.15,1.56E-05,
30.25,0.002034599,
30.35,0.002460379,
30.45,0.002468205,
30.55,4.49E-04,
30.65,2.63E-05,
30.75,2.26E-05,
30.85,2.22E-05,
30.95,1.76E-05,
31.05,1.75E-05,
31.15,3.78E-05,
31.25,5.40E-05,
31.35,6.43E-05,
31.45,8.80E-05,
31.55,9.85E-05,
31.65,7.10E-05,
31.75,4.22E-05,
31.85,4.63E-05,
31.95,5.70E-05,
32.05,6.14E-05,
32.15,3.97E-05,
32.25,1.62E-05,
32.35,1.20E-05,
32.45,1.29E-05,
32.55,1.50E-05,
32.65,1.90E-05,
32.75,2.53E-05,
32.85,2.06E-05,
32.95,1.54E-05,
33.05,1.14E-05,
33.15,1.72E-05,
33.25,2.77E-05,
33.35,7.92E-05,
33.45,2.62E-04,
33.55,2.98E-04,
33.65,1.61E-04,
33.75,2.41E-05,
33.85,2.78E-05,
33.95,2.50E-05,
34.05,3.01E-05,
34.15,5.41E-05,
34.25,5.20E-05,
34.35,3.38E-05,
34.45,4.52E-05,
34.55,5.35E-05,
34.65,8.00E-05,
34.75,8.64E-05,
34.85,1.02E-04,
34.95,7.52E-05,
35.05,5.20E-05,
35.15,5.55E-05,
35.25,5.98E-05,
35.35,6.79E-05,
35.45,5.00E-05,
35.55,5.06E-05,
35.65,4.24E-05,
35.75,3.26E-05,
35.85,3.84E-05,
35.95,9.57E-05,
36.05,2.10E-04,
36.15,1.77E-04,
36.25,3.09E-05,
36.35,5.46E-05,
36.45,7.88E-05,
36.55,6.69E-05,
36.65,7.09E-05,
36.75,1.65E-04,
36.85,1.71E-04,
36.95,1.17E-04,
37.05,1.10E-05,
37.15,4.52E-06,
37.25,6.74E-06,
37.35,1.11E-05,
37.45,1.12E-05,
37.55,1.41E-05,
37.65,1.03E-05,
37.75,1.04E-05,
37.85,6.64E-06,
37.95,5.99E-06,
38.05,6.14E-06,
38.15,4.42E-06,
38.25,5.13E-06,
38.35,6.11E-06,
38.45,6.78E-06,
38.55,6.23E-06,
38.65,5.32E-06,
38.75,4.98E-06,
38.85,5.14E-06,
38.95,8.63E-06,
39.05,7.77E-06,
39.15,5.31E-06,
39.25,5.08E-06,
39.35,5.40E-06,
39.45,4.67E-06,
39.55,4.33E-06,
39.65,4.11E-06,
39.75,3.62E-06,
39.85,5.56E-06,
39.95,7.52E-06,
39.5,7.14E-06,0.097854063
40.5,9.36E-06,0.094089217
41.5,9.88E-06,0.092385985
42.5,6.62E-06,0.098347388
43.5,1.25E-05,0.089975171
44.5,8.56E-06,0.093697362
45.5,8.24E-06,0.098185368
46.5,2.05E-05,0.094564117
47.5,1.02E-05,0.087795928
48.5,1.58E-05,0.077731006
49.5,2.53E-05,0.087771937
50.5,2.50E-05,0.083612077
51.5,1.03E-05,0.086219512
52.5,1.22E-05,0.094805673
53.5,9.49E-06,0.093069464
54.5,6.27E-06,0.088700823
55.5,3.02E-05,0.086097598
56.5,7.72E-06,0.085497759
57.5,7.07E-06,0.084034018
58.5,6.31E-05,0.109815553
59.5,9.52E-06,0.082882494
60.5,2.40E-05,0.138211325
61.5,1.97E-05,0.124487154
62.5,4.72E-05,0.115247607
63.5,3.59E-05,0.135380715
64.5,5.16E-06,0.085854463
65.5,4.71E-06,0.086389028
66.5,5.17E-06,0.085826389
67.5,4.16E-06,0.089662269
68.5,8.28E-06,0.076636665
69.5,6.53E-06,0.073472127
70.5,1.36E-05,0.080075346
71.5,5.55E-06,0.076276466
72.5,5.88E-06,0.073876232
73.5,3.82E-06,0.089390919
74.5,5.25E-06,0.074000478
75.5,7.21E-06,0.07528834
76.5,1.78E-05,0.072320342
77.5,1.62E-05,0.080110781
78.5,2.31E-05,0.082827345
79.5,1.64E-05,0.085311063
80.5,1.32E-05,0.067671672
81.5,1.40E-05,0.068662934
82.5,1.72E-05,0.070907421
83.5,3.94E-05,0.0824885
84.5,2.45E-05,0.07214798
85.5,2.95E-05,0.070322014
86.5,3.49E-05,0.071537264
87.5,4.17E-05,0.069252513
88.5,4.93E-05,0.070684016
89.5,5.70E-05,0.075917661
90.5,6.94E-05,0.075684577
91.5,5.94E-05,0.078494132
92.5,2.00E-05,0.072678931
93.5,2.05E-05,0.070568293
94.5,1.52E-05,0.084919579
95.5,1.22E-05,0.091147058
96.5,8.90E-06,0.077683695
97.5,1.61E-04,0.106745362
98.5,1.83E-05,0.084511004
99.5,2.68E-05,0.084303342
100.5,1.31E-05,0.077789493
101.5,1.59E-05,0.075492449
102.5,1.38E-04,0.10790918
103.5,1.23E-04,0.081480734
104.5,2.06E-05,0.077436373
105.5,1.80E-05,0.071359769
106.5,1.91E-05,0.071124308
107.5,2.17E-05,0.073713943
108.5,3.38E-05,0.079277992
109.5,2.39E-05,0.073748536
110.5,2.74E-05,0.075610623
111.5,2.58E-05,0.072080009
112.5,2.64E-05,0.069983572
113.5,1.82E-05,0.078635164
114.5,2.12E-05,0.300000012
115.5,2.25E-05,8.04E-07
116.5,2.65E-05,9.33E-07
117.5,9.46E-05,3.47E-06
118.5,3.59E-05,1.26E-06
119.5,6.13E-05,2.15E-06
120.5,1.93E-04,9.35E-06
121.5,0.008198185,2.92E-04
122.5,7.61E-05,2.68E-06
123.5,4.87E-05,1.72E-06
124.5,3.58E-05,1.26E-06
125.5,3.17E-05,1.12E-06
126.5,4.48E-05,1.58E-06
127.5,2.26E-05,7.98E-07
128.5,1.81E-05,6.41E-07
129.5,2.13E-05,7.54E-07
130.5,1.78E-04,6.27E-06
131.5,2.82E-05,9.89E-07
132.5,2.29E-05,8.03E-07
133.5,2.33E-04,8.39E-06
134.5,2.15E-05,7.46E-07
135.5,4.75E-05,1.65E-06
136.5,3.01E-05,1.03E-06
137.5,3.24E-05,1.12E-06
138.5,3.17E-05,1.08E-06
139.5,9.38E-05,3.25E-06
140.5,7.74E-05,2.66E-06
141.5,4.48E-05,1.52E-06
142.5,4.81E-05,1.63E-06
143.5,5.50E-05,1.85E-06
144.5,5.36E-05,1.80E-06
145.5,5.76E-05,1.93E-06
146.5,7.04E-05,2.35E-06
147.5,8.60E-05,2.87E-06
148.5,8.86E-05,2.95E-06
149.5,8.01E-05,2.65E-06
150.5,8.93E-05,2.95E-06
151.5,9.72E-05,3.20E-06
152.5,1.21E-04,4.05E-06
153.5,1.35E-04,4.51E-06
154.5,2.34E-04,7.93E-06
155.5,2.04E-04,6.92E-06
156.5,1.99E-04,6.66E-06
157.5,1.74E-04,5.77E-06
158.5,1.73E-04,5.68E-06
159.5,1.69E-04,5.53E-06
160.5,1.89E-04,6.16E-06
161.5,2.23E-04,7.25E-06
162.5,2.57E-04,8.35E-06
163.5,2.77E-04,8.95E-06
164.5,3.24E-04,1.06E-05
165.5,5.11E-04,1.69E-05
166.5,3.42E-04,1.10E-05
167.5,4.14E-04,1.34E-05
168.5,4.46E-04,1.43E-05
169.5,5.88E-04,1.88E-05
170.5,6.80E-04,2.18E-05
171.5,6.87E-04,2.20E-05
172.5,7.52E-04,2.40E-05
173.5,7.58E-04,2.41E-05
174.5,9.29E-04,2.95E-05
175.5,0.001137635,3.60E-05
176.5,0.001233686,3.91E-05
177.5,0.001507267,4.78E-05
178.5,0.001676789,5.30E-05
179.5,0.001666683,5.26E-05
180.5,0.002061608,3.04E-05
181.5,0.002464846,3.77E-05
182.5,0.002341879,3.80E-05
183.5,0.002516121,4.26E-05
184.5,0.002190891,3.77E-05
185.5,0.002500033,4.46E-05
186.5,0.002898246,5.29E-05
187.5,0.003256211,6.24E-05
188.5,0.003504948,7.01E-05
189.5,0.003860494,8.19E-05
190.5,0.004072362,8.59E-05
191.5,0.004340226,9.25E-05
192.5,0.004657444,9.80E-05
193.5,0.003608417,7.72E-05
194.5,0.005922604,1.33E-04
195.5,0.005764763,1.36E-04
196.5,0.006489675,1.59E-04
197.5,0.006580024,1.63E-04
198.5,0.006611691,1.61E-04
199.5,0.00720253,1.76E-04
200.5,0.007840301,1.90E-04
201.5,0.008731024,2.14E-04
202.5,0.008629734,2.07E-04
203.5,0.009977901,2.33E-04
204.5,0.01106127,2.45E-04
205.5,0.0113583,2.34E-04
206.5,0.01176927,2.28E-04
207.5,0.0135574,2.41E-04
208.5,0.01547593,2.49E-04
209.5,0.02222325,3.26E-04
210.5,0.02897516,3.79E-04
211.5,0.03484759,4.13E-04
212.5,0.03328132,3.60E-04
213.5,0.0301224,3.00E-04
214.5,0.04278332,4.07E-04
215.5,0.03497504,3.21E-04
216.5,0.03372622,3.13E-04
217.5,0.03243521,3.14E-04
218.5,0.04637528,4.78E-04
219.5,0.04860029,5.44E-04
220.5,0.04796847,5.82E-04
221.5,0.03410921,4.47E-04
222.5,0.05029647,6.99E-04
223.5,0.06382447,9.41E-04
224.5,0.05854512,9.28E-04
