wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
422.64,1.737922,0.0024869
423.3,1.731723,0.0025034
423.96,1.725577,0.0025193
424.63,1.71351,0.0025347
425.3,1.701972,0.0025495
425.97,1.69039,0.0025636
426.65,1.670332,0.0025773
427.32,1.63226,0.00259
428.01,1.587035,0.0026025
428.69,1.557064,0.002614
429.38,1.527466,0.0026251
430.08,1.51576,0.0026355
430.77,1.516982,0.0026451
431.47,1.552013,0.0026542
432.18,1.597009,0.0026626
432.89,1.64305,0.0026702
433.6,1.69008,0.0026771
434.31,1.731905,0.0026833
435.03,1.761059,0.0026888
435.75,1.775387,0.0026935
436.48,1.784758,0.0026975
437.21,1.784207,0.0027006
437.94,1.782947,0.002703
438.68,1.78895,0.0027047
439.42,1.80277,0.0027055
440.17,1.82143,0.0027054
440.92,1.847262,0.0027046
441.67,1.87992,0.0027029
442.43,1.904579,0.0027003
443.19,1.92264,0.0026969
443.96,1.935929,0.0026925
444.73,1.94756,0.0026873
445.5,1.954068,0.0026812
446.28,1.964584,0.0026741
447.06,1.987707,0.0026661
447.85,2.013104,0.002657
448.64,2.034633,0.0026471
449.43,2.049453,0.0026362
450.23,2.063581,0.0026246
451.04,2.067,0.0026128
451.85,2.058614,0.002601
452.66,2.04845,0.0025892
453.48,2.043282,0.0025772
454.3,2.043064,0.0025652
455.13,2.043487,0.0033261
455.96,2.047482,0.0033091
456.8,2.056057,0.0032919
457.64,2.063866,0.0032746
458.48,2.06898,0.0032573
459.33,2.073734,0.0032397
460.19,2.078456,0.0032219
461.05,2.081214,0.0032041
461.92,2.082837,0.003186
462.79,2.077986,0.0031679
463.66,2.070641,0.0031497
464.54,2.060184,0.0031313
465.43,2.049433,0.0031126
466.32,2.036893,0.0030939
467.22,2.027372,0.003075
468.12,2.025045,0.003056
469.03,2.025447,0.0030368
469.94,2.029467,0.0030175
470.86,2.036109,0.002998
471.78,2.04586,0.0029784
472.71,2.054784,0.0029586
473.64,2.063615,0.0029387
474.58,2.072725,0.0029186
475.53,2.08138,0.0028982
476.48,2.087849,0.0028778
477.44,2.094372,0.0028571
478.4,2.10022,0.0028364
479.37,2.102478,0.0028154
480.34,2.099057,0.0027944
481.33,2.08039,0.0027728
482.31,2.053477,0.0027515
483.31,2.020216,0.0027296
484.3,1.98535,0.002708
485.31,1.954445,0.0026858
486.32,1.933329,0.0026636
487.34,1.92636,0.0026412
488.37,1.933362,0.0026184
489.4,1.946353,0.0025956
490.43,1.961825,0.0025728
491.48,1.976315,0.0025494
492.53,1.989257,0.002526
493.59,1.994504,0.0025024
494.65,1.996688,0.0024786
495.72,1.993074,0.0024546
496.8,1.984452,0.0024303
497.89,1.975364,0.0024057
498.98,1.962674,0.0023811
500.08,1.952565,0.0023562
501.19,1.945113,0.002331
502.3,1.943633,0.0023057
503.42,1.946524,0.0022802
504.55,1.952408,0.0022543
505.69,1.958426,0.0022282
506.83,1.962593,0.002202
507.99,1.961115,0.0021753
509.14,1.955735,0.0021487
510.31,1.947043,0.0021216
511.49,1.926576,0.0020942
512.67,1.900532,0.0020668
513.86,1.874794,0.0020394
515.06,1.851859,0.0020121
516.27,1.831796,0.0019848
517.49,1.820028,0.0019575
518.71,1.82476,0.0019306
519.94,1.837626,0.0019037
521.18,1.848964,0.0018768
522.43,1.862023,0.0018501
523.69,1.876911,0.0018234
524.96,1.889494,0.0017968
526.24,1.894193,0.0017703
527.52,1.898779,0.0017442
528.82,1.908981,0.0017179
530.12,1.91717,0.001692
531.44,1.920602,0.0016659
532.76,1.921377,0.0016403
534.09,1.92053,0.0016147
535.43,1.916001,0.0015893
536.79,1.90718,0.0015639
538.15,1.898997,0.0015388
539.52,1.892853,0.0015139
540.9,1.888941,0.0014891
542.29,1.887306,0.0014646
543.69,1.887345,0.0014402
545.11,1.888571,0.0014159
546.53,1.888861,0.0013919
547.96,1.890236,0.0013682
549.41,1.889225,0.0013445
550.86,1.885959,0.0013212
552.33,1.879535,0.0012981
553.8,1.873271,0.0012753
555.29,1.866116,0.0012526
556.79,1.857872,0.0012302
558.3,1.849824,0.0012081
559.82,1.845383,0.0011862
561.36,1.843387,0.0011646
562.9,1.840814,0.0011433
564.46,1.839929,0.0011223
566.03,1.84115,0.0011016
567.61,1.842591,0.0010812
569.21,1.843223,0.001061
570.81,1.843842,0.0010413
572.43,1.844821,0.0010219
574.06,1.845719,0.0010029
575.71,1.845129,9.84E-04
577.37,1.842707,9.65E-04
579.04,1.839891,9.47E-04
580.72,1.83331,9.28E-04
582.42,1.824377,9.10E-04
584.13,1.814994,8.92E-04
585.86,1.805227,8.74E-04
587.59,1.796146,8.56E-04
589.35,1.78862,8.38E-04
591.11,1.784114,8.20E-04
592.9,1.78074,8.03E-04
594.69,1.777626,7.86E-04
596.5,1.774594,7.69E-04
598.33,1.770748,7.52E-04
600.17,1.764923,7.35E-04
602.03,1.757509,7.19E-04
603.9,1.749466,7.02E-04
605.78,1.739665,6.86E-04
607.69,1.727471,6.70E-04
609.6,1.715852,6.55E-04
611.54,1.704931,6.39E-04
613.49,1.693861,6.24E-04
615.46,1.683637,6.09E-04
617.44,1.676841,5.94E-04
619.44,1.672118,5.80E-04
621.46,1.666436,5.66E-04
623.49,1.660328,5.52E-04
625.54,1.655009,5.38E-04
627.61,1.650149,5.25E-04
629.7,1.643217,5.12E-04
631.81,1.635417,4.99E-04
633.93,1.628628,4.87E-04
636.07,1.621747,4.75E-04
638.23,1.613733,4.63E-04
640.41,1.605279,4.52E-04
642.61,1.597077,4.41E-04
644.82,1.58468,4.30E-04
647.06,1.570946,4.20E-04
649.31,1.55794,4.10E-04
651.59,1.545976,4.01E-04
653.88,1.534714,3.92E-04
656.2,1.526552,3.84E-04
658.53,1.524112,3.76E-04
660.89,1.523987,3.68E-04
663.27,1.523255,3.61E-04
665.66,1.52149,3.54E-04
668.08,1.519545,3.48E-04
670.52,1.514765,3.42E-04
672.99,1.506579,3.36E-04
675.47,1.498267,3.30E-04
677.98,1.489685,3.24E-04
680.5,1.480597,3.18E-04
683.06,1.471338,3.11E-04
685.63,1.462032,3.05E-04
688.23,1.452199,2.99E-04
690.85,1.442116,2.93E-04
693.49,1.43198,2.86E-04
696.16,1.422083,2.80E-04
698.85,1.412307,2.74E-04
701.56,1.402685,2.67E-04
704.3,1.393167,2.61E-04
707.07,1.383153,2.54E-04
709.85,1.373112,2.48E-04
712.67,1.362791,2.41E-04
715.51,1.352281,2.34E-04
718.37,1.342199,2.28E-04
721.26,1.33267,2.21E-04
724.18,1.323399,2.14E-04
727.12,1.31388,2.08E-04
730.09,1.304807,2.01E-04
733.08,1.296211,1.94E-04
736.1,1.287335,1.87E-04
739.15,1.278544,1.80E-04
742.22,1.2705,1.74E-04
745.33,1.263252,1.67E-04
748.46,1.255663,1.60E-04
751.61,1.247588,1.53E-04
754.8,1.239619,1.46E-04
758.01,1.231109,1.39E-04
761.26,1.222085,1.31E-04
764.53,1.212829,1.25E-04
767.83,1.204166,1.20E-04
771.15,1.196105,1.15E-04
774.51,1.187773,1.12E-04
777.9,1.179237,1.09E-04
781.31,1.170714,1.08E-04
784.76,1.16178,1.08E-04
788.23,1.152099,1.09E-04
791.73,1.142081,1.11E-04
795.27,1.132649,1.15E-04
798.83,1.123409,1.20E-04
802.42,1.113566,1.25E-04
806.05,1.104064,1.33E-04
809.7,1.095151,1.41E-04
813.39,1.085852,1.51E-04
817.1,1.076181,1.63E-04
820.85,1.066976,1.76E-04
824.62,1.058469,1.90E-04
828.43,1.04928,2.06E-04
832.26,1.038494,2.23E-04
836.13,1.026937,2.42E-04
840.03,1.015953,2.63E-04
843.96,1.00362,2.85E-04
847.92,0.9904381,3.09E-04
851.91,0.9789225,3.34E-04
855.93,0.9697992,3.62E-04
859.99,0.9620497,3.91E-04
864.07,0.954714,4.22E-04
868.18,0.9492477,4.54E-04
872.33,0.9452995,4.89E-04
876.5,0.9404017,5.26E-04
880.71,0.9344276,5.64E-04
884.94,0.9286402,6.05E-04
889.21,0.9223526,6.47E-04
893.5,0.9149815,6.92E-04
897.83,0.9068259,7.39E-04
902.19,0.8982036,7.88E-04
906.57,0.8898535,8.39E-04
910.99,0.8818165,8.92E-04
915.43,0.8736237,9.48E-04
919.91,0.8650196,0.0010058
924.41,0.8569144,0.001066
928.94,0.8490055,0.0011285
933.5,0.8406407,0.0011934
938.09,0.8318774,0.0012608
942.7,0.8241643,0.0013305
947.35,0.817321,0.0014029
952.74,0.8075207,2.50E-04
957.41,0.8003133,2.50E-04
962.11,0.794283,2.50E-04
966.83,0.7887712,2.50E-04
971.58,0.7828557,2.50E-04
976.35,0.7762973,2.50E-04
981.15,0.7688373,2.50E-04
985.98,0.7612841,2.50E-04
990.82,0.7535508,2.50E-04
995.7,0.7456046,2.50E-04
1000.59,0.7380353,2.50E-04
1005.51,0.730994,2.50E-04
1010.45,0.7245609,2.50E-04
1015.42,0.7177348,2.50E-04
1020.41,0.7111457,2.50E-04
1025.41,0.7047606,2.50E-04
1030.44,0.6981226,2.50E-04
1035.49,0.6911299,2.50E-04
1040.57,0.6838995,2.50E-04
1045.66,0.6766182,2.50E-04
1050.77,0.66905,2.50E-04
1055.9,0.6608048,2.50E-04
1061.04,0.6523258,2.50E-04
1066.21,0.6437122,2.50E-04
1071.39,0.6352201,2.50E-04
1076.59,0.6273595,2.50E-04
1081.81,0.6201711,2.50E-04
1087.04,0.613933,2.50E-04
1092.29,0.6083379,2.50E-04
1097.55,0.6030174,2.50E-04
1102.83,0.5980876,2.50E-04
1108.13,0.5929232,2.50E-04
1113.43,0.5874879,2.50E-04
1118.75,0.5819085,2.50E-04
1124.09,0.5761237,2.50E-04
1129.43,0.5702493,2.50E-04
1134.79,0.564379,2.50E-04
1140.16,0.5586003,2.50E-04
1145.53,0.5529178,2.50E-04
1150.92,0.5469127,2.50E-04
1156.32,0.5408301,2.50E-04
1161.73,0.5349031,2.50E-04
1167.15,0.5289371,2.50E-04
1172.57,0.5228155,2.50E-04
1178.01,0.5170094,2.50E-04
1183.45,0.5115162,2.50E-04
1188.9,0.506453,2.50E-04
1194.35,0.5016059,2.50E-04
1199.82,0.497051,2.50E-04
1205.28,0.493021,2.50E-04
1210.76,0.4890551,2.50E-04
1216.23,0.4851171,2.50E-04
1221.72,0.4810273,2.50E-04
1227.2,0.4768514,2.50E-04
1232.69,0.4724261,2.50E-04
1238.19,0.4678645,2.50E-04
1243.68,0.4632612,2.50E-04
1249.18,0.4582826,2.50E-04
1254.68,0.4531075,2.50E-04
1260.19,0.4481308,2.50E-04
1265.69,0.4433191,2.50E-04
1271.2,0.4387102,2.50E-04
1276.7,0.4344287,2.50E-04
1282.21,0.4305915,2.50E-04
1287.72,0.4272543,2.50E-04
1293.22,0.4238107,2.50E-04
1298.73,0.4203896,2.50E-04
1304.24,0.4168724,2.50E-04
1309.74,0.4133722,2.50E-04
1315.24,0.4098269,2.50E-04
1320.74,0.4063045,2.50E-04
1326.24,0.4028045,2.50E-04
1331.74,0.3993259,2.50E-04
1337.23,0.3958967,2.50E-04
1342.72,0.3922858,2.50E-04
1348.21,0.3886269,2.50E-04
1353.69,0.385023,2.50E-04
1359.17,0.3814039,2.50E-04
1364.64,0.3779175,2.50E-04
1370.12,0.3745713,2.50E-04
1375.58,0.3713526,2.50E-04
1381.04,0.368052,2.50E-04
1386.5,0.3647199,2.50E-04
1391.95,0.3613052,2.50E-04
1397.4,0.3577991,2.50E-04
1402.84,0.3542614,2.50E-04
1408.28,0.3507231,2.50E-04
1413.71,0.3472609,2.50E-04
1419.13,0.3438939,2.50E-04
1424.55,0.3405727,2.50E-04
1429.96,0.3374539,2.50E-04
1435.36,0.3344837,2.50E-04
1440.76,0.3316392,2.50E-04
1446.15,0.3290124,2.50E-04
1451.54,0.3263691,2.50E-04
1456.91,0.3236104,2.50E-04
1462.28,0.3208772,2.50E-04
1467.64,0.3179819,2.50E-04
1473,0.3147391,2.50E-04
1478.34,0.3115274,2.50E-04
1483.68,0.3085759,2.50E-04
1489.01,0.3058511,2.50E-04
1494.33,0.3033944,2.50E-04
1499.65,0.3012203,2.50E-04
1504.95,0.2995298,2.50E-04
1510.25,0.2979255,2.50E-04
1515.54,0.2961494,2.50E-04
1520.82,0.2943399,2.50E-04
1526.09,0.2923245,2.50E-04
1531.36,0.289843,2.50E-04
1536.61,0.2870852,2.50E-04
1541.86,0.2840782,2.50E-04
1547.09,0.2806628,2.50E-04
1552.32,0.2771104,2.50E-04
1557.54,0.2733583,2.50E-04
1562.75,0.2697417,2.50E-04
1567.95,0.2663936,2.50E-04
1573.14,0.2635109,2.50E-04
1578.32,0.2611538,2.50E-04
1583.49,0.2590213,2.50E-04
1588.65,0.2570673,2.50E-04
1593.8,0.2554297,2.50E-04
1598.95,0.2537608,2.50E-04
1601.18,0.2513805,4.52E-04
1616.86,0.2460157,4.53E-04
1632.42,0.2397419,4.77E-04
1647.91,0.2342218,5.50E-04
1663.31,0.2272525,5.31E-04
1678.61,0.2212111,4.93E-04
1693.82,0.21557,5.26E-04
1708.93,0.2080002,4.71E-04
1723.95,0.2004778,4.18E-04
1738.86,0.195165,3.77E-04
1753.69,0.190149,3.22E-04
1768.43,0.1848426,3.41E-04
1783.07,0.1784832,3.82E-04
1797.62,0.1728555,4.45E-04
1812.08,0.1687745,5.29E-04
1826.44,0.1641081,5.56E-04
1840.72,0.1601401,6.00E-04
1854.9,0.1553334,6.04E-04
1869,0.1495685,4.88E-04
1883,0.148171,4.21E-04
1896.92,0.1454702,4.05E-04
1910.75,0.1416933,4.34E-04
1924.48,0.1358095,3.39E-04
1938.13,0.132162,2.69E-04
1951.71,0.1301903,2.60E-04
1965.19,0.1273233,3.01E-04
1978.59,0.1245665,3.03E-04
1991.92,0.1220119,3.03E-04
2005.15,0.120035,2.95E-04
2018.31,0.1175278,3.37E-04
2031.38,0.11481,3.60E-04
2044.38,0.1124839,3.65E-04
2057.3,0.1091877,3.53E-04
2070.13,0.1073301,3.23E-04
2082.89,0.1050277,2.77E-04
2095.58,0.1012496,2.34E-04
2108.19,0.09925998,2.49E-04
2120.73,0.09752781,2.51E-04
2133.2,0.09627846,2.84E-04
2145.59,0.09243464,3.24E-04
2157.91,0.0909324,3.26E-04
2170.15,0.09028316,3.17E-04
2182.34,0.0887922,3.09E-04
2194.44,0.08606865,3.59E-04
2206.48,0.08552259,4.08E-04
2218.45,0.08409761,4.44E-04
2230.36,0.08231955,4.65E-04
2242.2,0.08023685,4.73E-04
2253.97,0.07819523,4.67E-04
2265.68,0.07684957,4.48E-04
2277.33,0.07541571,4.16E-04
2288.91,0.07399588,3.77E-04
2300.43,0.07302453,3.44E-04
2311.89,0.07135015,3.18E-04
2323.28,0.06964489,2.99E-04
2334.63,0.06773136,2.87E-04
2345.9,0.06698233,2.81E-04
2357.11,0.06606159,2.96E-04
2368.28,0.06297373,2.91E-04
