time (seconds since 1970-01-01),wavelength (nm),irradiance (W/m^2/nm)
1.054123713609375E9,7.25,8.771801367402077E-5
1.054123713609375E9,7.35,7.534317410318181E-5
1.054123713609375E9,7.45,7.135386113077402E-5
1.054123713609375E9,7.55,9.062265598913655E-5
1.054123713609375E9,7.65,8.829764556139708E-5
1.054123713609375E9,7.75,6.560518522746861E-5
1.054123713609375E9,7.85,5.837888966198079E-5
1.054123713609375E9,7.95,5.786360998172313E-5
1.054123713609375E9,8.05,6.079747254261747E-5
1.054123713609375E9,8.15,7.313446985790506E-5
1.054123713609375E9,8.25,8.858094952302054E-5
1.054123713609375E9,8.35,8.70879230205901E-5
1.054123713609375E9,8.45,7.43044656701386E-5
1.054123713609375E9,8.55,6.20234859525226E-5
1.054123713609375E9,8.65,5.4292406275635585E-5
1.054123713609375E9,8.75,5.266717926133424E-5
1.054123713609375E9,8.85,5.386277553043328E-5
1.054123713609375E9,8.95,5.519624028238468E-5
1.054123713609375E9,9.05,5.4415006161434576E-5
1.054123713609375E9,9.15,5.587091436609626E-5
1.054123713609375E9,9.25,5.816555494675413E-5
1.054123713609375E9,9.35,6.192466389620677E-5
1.054123713609375E9,9.45,5.6528515415266156E-5
1.054123713609375E9,9.55,5.222122490522452E-5
1.054123713609375E9,9.65,5.461644468596205E-5
1.054123713609375E9,9.75,5.060471085016616E-5
1.054123713609375E9,9.85,4.3768275645561516E-5
1.054123713609375E9,9.95,4.162975164945237E-5
1.054123713609375E9,10.05,4.212049680063501E-5
1.054123713609375E9,10.15,4.6686967834830284E-5
1.054123713609375E9,10.25,5.02033690281678E-5
1.054123713609375E9,10.35,5.437762592919171E-5
1.054123713609375E9,10.45,4.9036134441848844E-5
1.054123713609375E9,10.55,3.1898649467621E-5
1.054123713609375E9,10.65,2.590511940070428E-5
1.054123713609375E9,10.75,2.4667595425853506E-5
1.054123713609375E9,10.85,2.6684958356781863E-5
1.054123713609375E9,10.95,2.4016015231609344E-5
1.054123713609375E9,11.05,2.4534592739655636E-5
1.054123713609375E9,11.15,2.7206548111280426E-5
1.054123713609375E9,11.25,2.823022623488214E-5
1.054123713609375E9,11.35,2.6216339392703958E-5
1.054123713609375E9,11.45,2.6734678613138385E-5
1.054123713609375E9,11.55,2.6872492526308633E-5
1.054123713609375E9,11.65,2.996505645569414E-5
1.054123713609375E9,11.75,2.726927777985111E-5
1.054123713609375E9,11.85,1.9656590666272677E-5
1.054123713609375E9,11.95,1.6616024367976934E-5
1.054123713609375E9,12.05,1.7076479707611725E-5
1.054123713609375E9,12.15,1.847938801802229E-5
1.054123713609375E9,12.25,1.7752241546986625E-5
1.054123713609375E9,12.35,1.6642947230138816E-5
1.054123713609375E9,12.45,1.375429656036431E-5
1.054123713609375E9,12.55,9.799964573176112E-6
1.054123713609375E9,12.65,9.90484932117397E-6
1.054123713609375E9,12.75,1.1231747521378566E-5
1.054123713609375E9,12.85,1.4006659512233455E-5
1.054123713609375E9,12.95,1.6335430700564757E-5
1.054123713609375E9,13.05,2.1328531147446483E-5
1.054123713609375E9,13.15,2.0082567061763257E-5
1.054123713609375E9,13.25,1.847029125201516E-5
1.054123713609375E9,13.35,1.5190410522336606E-5
1.054123713609375E9,13.45,1.3279043741931673E-5
1.054123713609375E9,13.55,1.2300751222937834E-5
1.054123713609375E9,13.65,1.1563965927052777E-5
1.054123713609375E9,13.75,1.2721213352051564E-5
1.054123713609375E9,13.85,1.2681323823926505E-5
1.054123713609375E9,13.95,1.4333145372802392E-5
1.054123713609375E9,14.05,1.8490325601305813E-5
1.054123713609375E9,14.15,1.7336884411633946E-5
1.054123713609375E9,14.25,1.3456337910611182E-5
1.054123713609375E9,14.35,1.8944107068818994E-5
1.054123713609375E9,14.45,2.6351213818998076E-5
1.054123713609375E9,14.55,2.7122023311676458E-5
1.054123713609375E9,14.65,2.5407789507880807E-5
1.054123713609375E9,14.75,5.0734332035062835E-5
1.054123713609375E9,14.85,5.879814125364646E-5
1.054123713609375E9,14.95,5.026521102990955E-5
1.054123713609375E9,15.05,2.9743367122136988E-5
1.054123713609375E9,15.15,4.540597728919238E-5
1.054123713609375E9,15.25,4.4414693547878414E-5
1.054123713609375E9,15.35,3.614132583606988E-5
1.054123713609375E9,15.45,2.7250360290054232E-5
1.054123713609375E9,15.55,1.794025956769474E-5
1.054123713609375E9,15.65,1.8884667952079326E-5
1.054123713609375E9,15.75,3.368937541381456E-5
1.054123713609375E9,15.85,3.3775831980165094E-5
1.054123713609375E9,15.95,2.4020524506340735E-5
1.054123713609375E9,16.05,2.247721204184927E-5
1.054123713609375E9,16.15,2.1815780200995505E-5
1.054123713609375E9,16.25,1.7329595721093938E-5
1.054123713609375E9,16.35,2.6018904463853687E-5
1.054123713609375E9,16.45,3.0101951779215597E-5
1.054123713609375E9,16.55,2.3818538466002792E-5
1.054123713609375E9,16.65,3.9582526369486004E-5
1.054123713609375E9,16.75,7.772268872940913E-5
1.054123713609375E9,16.85,1.0021999332820997E-4
1.054123713609375E9,16.95,3.153462312184274E-4
1.054123713609375E9,17.05,5.09801204316318E-4
1.054123713609375E9,17.15,5.038102390244603E-4
1.054123713609375E9,17.25,2.844743139576167E-4
1.054123713609375E9,17.35,3.458369756117463E-4
1.054123713609375E9,17.45,3.8226525066420436E-4
1.054123713609375E9,17.55,4.244105366524309E-4
1.054123713609375E9,17.65,2.850967866834253E-4
1.054123713609375E9,17.75,2.4674442829564214E-4
1.054123713609375E9,17.85,2.0886307174805552E-4
1.054123713609375E9,17.95,2.729150583036244E-4
