time (Julian Date),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),
2452788,144.5,5.36E-05,1.80E-06,
2452788,145.5,5.76E-05,1.93E-06,
2452788,146.5,7.04E-05,2.35E-06,
2452788,147.5,8.60E-05,2.87E-06,
2452788,148.5,8.86E-05,2.95E-06,
2452788,149.5,8.01E-05,2.65E-06,
2452788,150.5,8.93E-05,2.95E-06,
2452788,151.5,9.72E-05,3.20E-06,
2452788,152.5,1.21E-04,4.05E-06,
2452788,153.5,1.35E-04,4.51E-06,
2452788,154.5,2.34E-04,7.93E-06,
2452788,155.5,2.04E-04,6.92E-06,
2452788,156.5,1.99E-04,6.66E-06,
2452788,157.5,1.74E-04,5.77E-06,
2452788,158.5,1.73E-04,5.68E-06,
2452788,159.5,1.69E-04,5.53E-06,
2452788,160.5,1.89E-04,6.16E-06,
2452788,161.5,2.23E-04,7.25E-06,
2452788,162.5,2.57E-04,8.35E-06,
2452788,163.5,2.77E-04,8.95E-06,
2452788,164.5,3.24E-04,1.06E-05,
2452788,165.5,5.11E-04,1.69E-05,
2452788,166.5,3.42E-04,1.10E-05,
2452788,167.5,4.14E-04,1.34E-05,
2452788,168.5,4.46E-04,1.43E-05,
2452788,169.5,5.88E-04,1.88E-05,
2452788,170.5,6.80E-04,2.18E-05,
2452788,171.5,6.87E-04,2.20E-05,
2452788,172.5,7.52E-04,2.40E-05,
2452788,173.5,7.58E-04,2.41E-05,
2452788,174.5,9.29E-04,2.95E-05,
2452788,175.5,0.001137635,3.60E-05,
2452788,176.5,0.001233686,3.91E-05,
2452788,177.5,0.001507267,4.78E-05,
2452788,178.5,0.001676789,5.30E-05,
2452788,179.5,0.001666683,5.26E-05,
2452788,180.5,0.002061608,3.04E-05,
2452788,181.5,0.002464846,3.77E-05,
2452788,182.5,0.002341879,3.80E-05,
2452788,183.5,0.002516121,4.26E-05,
2452788,184.5,0.002190891,3.77E-05,
2452788,185.5,0.002500033,4.46E-05,
2452788,186.5,0.002898246,5.29E-05,
2452788,187.5,0.003256211,6.24E-05,
2452788,188.5,0.003504948,7.01E-05,
2452788,189.5,0.003860494,8.19E-05,
2452788,190.5,0.004072362,8.59E-05,
2452788,191.5,0.004340226,9.25E-05,
2452788,192.5,0.004657444,9.80E-05,
2452788,193.5,0.003608417,7.72E-05,
2452788,194.5,0.005922604,1.33E-04,
2452788,195.5,0.005764763,1.36E-04,
2452788,196.5,0.006489675,1.59E-04,
2452788,197.5,0.006580024,1.63E-04,
2452788,198.5,0.006611691,1.61E-04,
2452788,199.5,0.00720253,1.76E-04,
2452788,200.5,0.007840301,1.90E-04,
2452788,201.5,0.008731024,2.14E-04,
2452788,202.5,0.008629734,2.07E-04,
2452788,203.5,0.009977901,2.33E-04,
2452788,204.5,0.01106127,2.45E-04,
2452788,205.5,0.0113583,2.34E-04,
2452788,206.5,0.01176927,2.28E-04,
2452788,207.5,0.0135574,2.41E-04,
2452788,208.5,0.01547593,2.49E-04,
2452788,209.5,0.02222325,3.26E-04,
2452788,210.5,0.02897516,3.79E-04,
2452788,211.5,0.03484759,4.13E-04,
2452788,212.5,0.03328132,3.60E-04,
2452788,213.5,0.0301224,3.00E-04,
2452788,214.5,0.04278332,4.07E-04,
2452788,215.5,0.03497504,3.21E-04,
2452788,216.5,0.03372622,3.13E-04,
2452788,217.5,0.03243521,3.14E-04,
2452788,218.5,0.04637528,4.78E-04,
2452788,219.5,0.04860029,5.44E-04,
2452788,220.5,0.04796847,5.82E-04,
2452788,221.5,0.03410921,4.47E-04,
2452788,222.5,0.05029647,6.99E-04,
2452788,223.5,0.06382447,9.41E-04,
2452788,224.5,0.05854512,9.28E-04,
2452788,225.5,0.05188514,8.58E-04,
2452788,226.5,0.03635068,6.11E-04,
2452788,227.5,0.03691253,6.21E-04,
2452788,228.5,0.05283643,8.67E-04,
2452788,229.5,0.04477074,7.34E-04,
2452788,230.5,0.05465518,8.89E-04,
2452788,231.5,0.0471995,7.71E-04,
2452788,232.5,0.05076341,8.15E-04,
2452788,233.5,0.04269385,7.13E-04,
2452788,234.5,0.03464881,5.99E-04,
2452788,235.5,0.05553777,9.73E-04,
2452788,236.5,0.04294133,7.91E-04,
2452788,237.5,0.05189187,9.47E-04,
2452788,238.5,0.03577444,7.05E-04,
2452788,239.5,0.04404834,8.82E-04,
2452788,240.5,0.04045051,8.37E-04,
2452788,241.5,0.04728998,9.92E-04,
2452788,242.5,0.07064663,0.0014639,
2452788,243.5,0.06411929,0.0012721,
2452788,244.5,0.06123813,0.0011696,
2452788,245.5,0.0483252,8.84E-04,
2452788,246.5,0.04829823,8.54E-04,
2452788,247.5,0.05571229,9.68E-04,
2452788,248.5,0.04316391,7.43E-04,
2452788,249.5,0.05503669,0.001001,
2452788,250.5,0.05795013,0.0010835,
2452788,251.5,0.04482989,8.55E-04,
2452788,252.5,0.039597,7.62E-04,
2452788,253.5,0.05080686,9.82E-04,
2452788,254.5,0.05649043,0.0011035,
2452788,255.5,0.08015453,0.0015634,
2452788,256.5,0.09601868,0.0019204,
2452788,257.5,0.1192849,0.0023422,
2452788,258.5,0.1267217,0.0024846,
2452788,259.5,0.1057938,0.0020597,
2452788,260.5,0.08619446,0.0016245,
2452788,261.5,0.08430545,0.0014948,
2452788,262.5,0.1065583,0.0018455,
2452788,263.5,0.1555582,0.0026752,
2452788,264.5,0.242153,0.0041465,
2452788,265.5,0.2522693,0.0044011,
2452788,266.5,0.2445993,0.0043031,
2452788,267.5,0.2445976,0.0043057,
2452788,268.5,0.2439054,0.004316,
2452788,269.5,0.2171328,0.0038256,
2452788,270.5,0.273223,0.0047702,
2452788,271.5,0.2270165,0.0038447,
2452788,272.5,0.1808147,0.003099,
2452788,273.5,0.2057189,0.003647,
2452788,274.5,0.1212924,0.0022967,
2452788,275.5,0.1741545,0.0033639,
2452788,276.5,0.2406755,0.0051386,
2452788,277.5,0.2392577,0.005321,
2452788,278.5,0.1575808,0.0036869,
2452788,279.5,0.07625737,0.0017505,
2452788,280.5,0.08803458,0.00189,
2452788,281.5,0.2037091,0.0043684,
2452788,282.5,0.282915,0.0059762,
2452788,283.5,0.3133206,0.0067645,
2452788,284.5,0.2397357,0.0054579,
2452788,285.5,0.1225705,0.0027788,
2452788,286.5,0.323969,0.007414,
2452788,287.5,0.3530444,0.0078342,
2452788,288.5,0.2919897,0.0060613,
2452788,289.5,0.4339966,0.0086597,
2452788,290.5,0.5798218,0.011945,
2452788,291.5,0.5378348,0.011303,
2452788,292.5,0.4678576,0.01024,
2452788,293.5,0.5295992,0.011218,
2452788,294.5,0.4768703,0.0095143,
2452788,295.5,0.5333265,0.0095676,
2452788,296.5,0.4728291,0.0086355,
2452788,297.5,0.5059879,0.0095496,
2452788,298.5,0.3737858,0.007616,
2452788,299.5,0.5199137,0.011263,
2452788,300.5,0.343984,0.0074634,
2452788,301.5,0.4677,0.010828,
2452788,302.5,0.4580727,0.011091,
2452788,303.5,0.5981574,0.015594,
2452788,304.5,0.5644625,0.01522,
2452788,305.5,0.5896032,0.018784,
2452788,306.5,0.5364635,0.018347001,
2452788,307.5,0.618451,0.022817999,
2452788,308.5,0.6229032,0.025002001,
